year,team,opponent_team,result,team_conf,opponent_conf
1934,Spain,Italy,Draw,UEFA,UEFA
1998,Austria,Italy,Loss,UEFA,UEFA
1994,Romania,United States,Win,UEFA,CONCACAF
1970,Uruguay,Soviet Union,Win,CONMEBOL,UEFA
2022,United States,England,Draw,CONCACAF,UEFA
2002,Denmark,Uruguay,Win,UEFA,CONMEBOL
1990,Romania,Soviet Union,Win,UEFA,UEFA
2010,Uruguay,South Africa,Win,CONMEBOL,CAF
1994,Republic of Ireland,Netherlands,Loss,UEFA,UEFA
2006,Spain,Saudi Arabia,Win,UEFA,AFC
1998,Austria,Chile,Draw,UEFA,CONMEBOL
2014,Switzerland,Honduras,Win,UEFA,CONCACAF
1994,Argentina,Romania,Loss,CONMEBOL,UEFA
2022,Brazil,Croatia,Loss,CONMEBOL,UEFA
1950,Spain,Uruguay,Draw,UEFA,CONMEBOL
1950,Mexico,Switzerland,Loss,CONCACAF,UEFA
2006,Netherlands,Portugal,Loss,UEFA,UEFA
1990,Czechoslovakia,United States,Win,UEFA,CONCACAF
1970,Italy,Uruguay,Draw,UEFA,CONMEBOL
1990,England,Cameroon,Win,UEFA,CAF
1966,Brazil,Hungary,Loss,CONMEBOL,UEFA
2014,Russia,Algeria,Draw,UEFA,CAF
2022,Uruguay,Ghana,Win,CONMEBOL,CAF
1958,England,Soviet Union,Draw,UEFA,UEFA
1978,Scotland,Peru,Loss,UEFA,CONMEBOL
1974,Yugoslavia,Poland,Loss,UEFA,UEFA
1994,Morocco,Saudi Arabia,Loss,CAF,AFC
2002,Turkey,Japan,Win,UEFA,AFC
1954,Switzerland,Austria,Loss,UEFA,UEFA
2022,Serbia,Brazil,Loss,UEFA,CONMEBOL
1966,Argentina,England,Loss,CONMEBOL,UEFA
1962,Spain,Czechoslovakia,Loss,UEFA,UEFA
2022,Belgium,Croatia,Draw,UEFA,UEFA
2014,Ghana,Portugal,Loss,CAF,UEFA
2002,United States,Germany,Loss,CONCACAF,UEFA
1954,Austria,West Germany,Loss,UEFA,UEFA
1938,Belgium,France,Loss,UEFA,UEFA
1994,Brazil,Sweden,Win,CONMEBOL,UEFA
1974,Poland,Brazil,Win,UEFA,CONMEBOL
1958,Northern Ireland,France,Loss,UEFA,UEFA
1986,Belgium,Soviet Union,Win,UEFA,UEFA
1978,Austria,Brazil,Loss,UEFA,CONMEBOL
1974,West Germany,Poland,Win,UEFA,UEFA
1998,Belgium,Netherlands,Draw,UEFA,UEFA
1966,Bulgaria,Hungary,Loss,UEFA,UEFA
2018,Saudi Arabia,Uruguay,Loss,AFC,CONMEBOL
1986,Bulgaria,Mexico,Loss,UEFA,CONCACAF
1978,France,Italy,Loss,UEFA,UEFA
1966,West Germany,Argentina,Draw,UEFA,CONMEBOL
